"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
80,"JACQUELINE WEYER;JUNO THOMAS;PATRICIA A LEMAN;ANTOINETTE A GROBBELAAR;ALAN KEMP;JANUSZ T PAWESKA","ENG","JOURNAL ARTICLE",2013-03-08,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
81,"JOSÉ FAFETINE;LUIS NEVES;PETER N THOMPSON;JANUSZ T PAWESKA;VICTOR P M G RUTTEN;J A W COETZER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-02-28,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
82,"LING XUE;CATERINA SCOGLIO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-02-28,"UNITED STATESMATH BIOSCI01031460025-5564",""
83,"VALÉRIE SOTI;VÉRONIQUE CHEVALIER;JONATHAN MAURA;AGNÈS BÉGUÉ;CAMILLE LELONG;RENAUD LANCELOT;YAYA THIONGANE;ANNELISE TRAN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-01,"ENGLANDINT J HEALTH GEOGR1011521981476-072X",""
84,"A CARON;E MIGUEL;C GOMO;P MAKAYA;D M PFUKENYI;C FOGGIN;T HOVE;M DE GARINE-WICHATITSKY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-02-26,"ENGLANDEPIDEMIOL INFECT87037370950-2688",""
85,"TOMMY TSAN-YUK LAM;WEI LIU;THOMAS A BOWDEN;NING CUI;LU ZHUANG;KUN LIU;YAO-YUN ZHANG;WU-CHUN CAO;OLIVER G PYBUS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-09-26,"NETHERLANDSEPIDEMICS1014847111878-0067",""
86,"LEAH R SABIN;QI ZHENG;PRAMOD THEKKAT;JAMIE YANG;GREGORY J HANNON;BRIAN D GREGORY;MATTHEW TUDOR;SARA CHERRY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-02-12,"UNITED STATESPLOS ONE1012850811932-6203",""
87,"MEGAN E ERMLER;EKATERINA YERUKHIM;JILL SCHRIEWER;STEFAN SCHATTGEN;ZACHARY TRAYLOR;ADAM R WESPISER;DANIEL R CAFFREY;ZHIJIAN J CHEN;CHARLES H KING;MICHAEL GALE;MARCO COLONNA;KATHERINE A FITZGERALD;R MARK L BULLER;AMY G HISE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-02-13,"UNITED STATESJ VIROL01137240022-538X",""
88,"MO SALMAN","ENG","JOURNAL ARTICLE",NA,"UNITED STATESJ AM VET MED ASSOC75030670003-1488",""
89,"MICHAEL J TURELL","ENG","JOURNAL ARTICLE;REVIEW",NA,"UNITED STATESJ AM MOSQ CONTROL ASSOC85112998756-971X",""
90,"KENNETH J LINTHICUM","ENG","HISTORICAL ARTICLE;INTRODUCTORY JOURNAL ARTICLE",NA,"UNITED STATESJ AM MOSQ CONTROL ASSOC85112998756-971X",""
91,"REBEKAH KADING;MARY CRABTREE;BARRY MILLER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-02-04,"NETHERLANDSJ VIROL METHODS80058390166-0934",""
92,"HEIKE HOFMANN;XINGXING LI;XIAOAI ZHANG;WEI LIU;ANNIKA KÜHL;FRANZISKA KAUP;SAMANTHA S SOLDAN;FRANCISCO GONZÁLEZ-SCARANO;FRIEDEMANN WEBER;YUXIAN HE;STEFAN PÖHLMANN","ENG","JOURNAL ARTICLE",2013-02-06,"UNITED STATESJ VIROL01137240022-538X",""
93,"DAOZHOU GAO;CHRIS COSNER;ROBERT STEPHEN CANTRELL;JOHN C BEIER;SHIGUI RUAN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",2013-02-02,"UNITED STATESBULL MATH BIOL04014040092-8240",""
94,"BENJAMIN R SCHUDEL;BROOKE HARMON;VINAY V ABHYANKAR;BENJAMIN W PRUITT;OSCAR A NEGRETE;ANUP K SINGH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-01-30,"ENGLANDLAB CHIP1011289481473-0189",""
95,"HAN XIA;JIURU ZHAO;YONGDONG LI;SHIYU YIN;SHUANG TANG;ZHONG ZHANG;JINGFENG YU;ZHENG KOU;ZHAOJUN FAN;TIANXIAN LI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-01-23,"NETHERLANDSVIRUS RES84109790168-1702",""
96,"M G ROMANTSOV;KH M GALIMZIANOV;O M LOKTEVA;A L KOVALENKO;A V STEPANOV","RUS","CASE REPORTS;ENGLISH ABSTRACT;JOURNAL ARTICLE;RANDOMIZED CONTROLLED TRIAL",NA,"RUSSIA (FEDERATION)ANTIBIOT KHIMIOTER88036880235-2990",""
97,"IMADELDIN E ARADAIB;BOBBIE R ERICKSON;REHAB M ELAGEB;MARINA L KHRISTOVA;SERENA A CARROLL;ISAM M ELKHIDIR;MUBARAK E KARSANY;ABDELRAHIM E KARRAR;MUSTAFA I ELBASHIR;STUART T NICHOL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
98,"OSMAN DAR;SABRINA MCINTYRE;SUE HOGARTH;DAVID HEYMANN","ENG","JOURNAL ARTICLE",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
99,"MILENA EULER;YONGJIE WANG;DORIS HEIDENREICH;PRANAV PATEL;OLIVER STROHMEIER;SYDNEY HAKENBERG;MATTHIAS NIEDRIG;FRANK T HUFERT;MANFRED WEIDMANN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-01-23,"UNITED STATESJ CLIN MICROBIOL75055640095-1137",""
100,"GEORGES TSHILENGE","ENG","JOURNAL ARTICLE",2012-06-20,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
101,"CALVIN SINDATO;ESRON KARIMURIBO;E G MBOERA","ENG","JOURNAL ARTICLE",2012-06-20,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
102,"GEORGE DAUTU;CALVIN SINDATO;AARON S MWEENE;KENNY L SAMUI;POLLY ROY;ROBERT NOAD;JANUSZ PAWESKA;PHELIX A O MAJIWA;ANTONY MUSOKE","ENG","JOURNAL ARTICLE",2012-06-20,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
103,"ANITA L MICHEL;ROY G BENGIS","ENG","JOURNAL ARTICLE",2012-06-20,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
104,"LOURENÇO P MAPACO;JACOBUS A W COETZER;JANUSZ T PAWESKA;ESTELLE H VENTER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-10-04,"SOUTH AFRICAJ S AFR VET ASSOC75031221019-9128",""
105,"DAVID P TCHOUASSI;ROSEMARY SANG;CATHERINE L SOLE;ARMANDA D S BASTOS;PETER E A TEAL;CHRISTIAN BORGEMEISTER;BALDWYN TORTO","ENG","EVALUATION STUDIES;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-01-10,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
106,"BIRTE KALVERAM;TETSURO IKEGAMI","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-01-16,"UNITED STATESJ VIROL01137240022-538X",""
107,"MOSHE DESSAU;YORGO MODIS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-01-14,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424",""
108,"GAËLLE NICOLAS;BENOÎT DURAND;RAPHAËL DUBOZ;RENÉ RAKOTONDRAVAO;VÉRONIQUE CHEVALIER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-01-04,"NETHERLANDSACTA TROP03703740001-706X",""
109,"MONCEF KHAIRALLAH;RIM KAHLOUN;SALIM BEN YAHIA;BECHIR JELLITI;RIADH MESSAOUD","ENG","JOURNAL ARTICLE;REVIEW",2012-12-18,"SWITZERLANDOPHTHALMIC RES02674420030-3747",""
110,"OLGA LIHORADOVA;TETSURO IKEGAMI","ENG","EDITORIAL;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"ENGLANDEXPERT REV VACCINES1011554751476-0584",""
111,"SARAH K KONRAD;LI ZOU;SCOTT N MILLER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ITALYGEOSPAT HEALTH1013029431827-1987",""
112,"JOSÉ M FAFETINE;PETRUS JANSEN VAN VUREN;JANUSZ T PAWESKA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-11-23,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
113,"P LÉGER;E LARA;B JAGLA;O SISMEIRO;Z MANSUROGLU;J Y COPPÉE;E BONNEFOY;M BOULOY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-11-21,"UNITED STATESJ VIROL01137240022-538X",""
114,"V A MARKIN;V B PANTIUKHOV;V I MARKOV;V P BONDAREV","RUS","ENGLISH ABSTRACT;JOURNAL ARTICLE;REVIEW",NA,"RUSSIA (FEDERATION)ZH MIKROBIOL EPIDEMIOL IMMUNOBIOL04152170372-9311",""
115,"JOHN C MORRILL;RICHARD C LAUGHLIN;NANDADEVA LOKUGAMAGE;ROBERTA PUGH;ELENA SBRANA;WILLIAM J WEISE;L GARRY ADAMS;SHINJI MAKINO;C J PETERS","ENG","JOURNAL ARTICLE;RANDOMIZED CONTROLLED TRIAL;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-11-12,"NETHERLANDSVACCINE84068990264-410X",""
116,"","ENG","JOURNAL ARTICLE",NA,"SWITZERLANDWKLY EPIDEMIOL REC02400170049-8114",""
117,"DAVID P TCHOUASSI;ROSEMARY SANG;CATHERINE L SOLE;ARMANDA D S BASTOS;KLAUS MITHOEFER;BALDWYN TORTO","ENG","EVALUATION STUDIES;JOURNAL ARTICLE",2012-11-01,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
118,"DONALD D RAYMOND;MARY E PIPER;SONJA R GERRARD;GEORGIOS SKINIOTIS;JANET L SMITH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-11-05,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424",""
119,"SABARISH V INDRAN;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2012-10-26,"SWITZERLANDFRONT CELL INFECT MICROBIOL1015853592235-2988","RIFT VALLEY FEVER VIRUS;BUNYAVIRUS;PHLEBOVIRUS;REPLICON;SUBUNIT VACCINE;VACCINE;VACCINE VECTOR"
120,"NAKUL CHITNIS;JAMES M HYMAN;CARRIE A MANORE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDJ BIOL DYN1012997251751-3758",""
121,"KAORI TERASAKI;SUNGYONG WON;SHINJI MAKINO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-10-24,"UNITED STATESJ VIROL01137240022-538X",""
122,"NORBERT G SCHWARZ;MIRKO GIRMANN;NJARY RANDRIAMAMPIONONA;ALEXANDRA BIALONSKI;DEBORAH MAUS;ANNE CAROLINE KREFIS;CHRISTINE NJARASOA;JEANNE FLEURY RAJANALISON;HERLY DANIEL RAMANDRISOA;MAURICE LUCIEN RANDRIARISON;JÜRGEN MAY;JONAS SCHMIDT-CHANASIT;RAPHAEL RAKOTOZANDRINDRAINY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
123,"BIRTE KALVERAM;OLGA LIHORADOVA;SABARISH V INDRAN;NANDADEVA LOKUGAMAGE;JENNIFER A HEAD;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-10-12,"UNITED STATESVIROLOGY01106740042-6822",""
124,"S M DE BOER;J KORTEKAAS;L SPEL;P J M ROTTIER;R J M MOORMANN;B J BOSCH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-10-03,"UNITED STATESJ VIROL01137240022-538X",""
125,"NANDADEVA LOKUGAMAGE;ALEXANDER N FREIBERG;JOHN C MORRILL;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-10-03,"UNITED STATESJ VIROL01137240022-538X",""
126,"JENNIFER A HEAD;BIRTE KALVERAM;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-09-19,"UNITED STATESPLOS ONE1012850811932-6203",""
127,"JEROEN KORTEKAAS;JET KANT;RIANKA VLOET;CATHERINE CÊTRE-SOSSAH;PHILIPPE MARIANNEAU;SANDRA LACOTE;ASHLEY C BANYARD;CLAIRE JEFFRIES;MARTIN EIDEN;MARTIN GROSCHUP;SUSANNE JÄCKEL;ESTHER HEVIA;ALEJANDRO BRUN","ENG","EVALUATION STUDIES;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-09-26,"NETHERLANDSJ VIROL METHODS80058390166-0934",""
128,"JING NENG;MARK H HARPSTER;WILLIAM C WILSON;PATRICK A JOHNSON","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-08-29,"ENGLANDBIOSENS BIOELECTRON90012890956-5663",""
129,"S M DE BOER;J KORTEKAAS;C A M DE HAAN;P J M ROTTIER;R J M MOORMANN;B J BOSCH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-09-26,"UNITED STATESJ VIROL01137240022-538X",""
130,"BRUCE H NODEN;BERTA E VAN DER COLF","ENG","JOURNAL ARTICLE;REVIEW",2012-09-21,"NETHERLANDSACTA TROP03703740001-706X",""
131,"BROOKE HARMON;BENJAMIN R SCHUDEL;DIANNA MAAR;CAROL KOZINA;TETSURO IKEGAMI;CHIEN-TE KENT TSENG;OSCAR A NEGRETE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-09-19,"UNITED STATESJ VIROL01137240022-538X",""
132,"RAPHAËLLE MÉTRAS;THIBAUD PORPHYRE;DIRK U PFEIFFER;ALAN KEMP;PETER N THOMPSON;LISA M COLLINS;RICHARD G WHITE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-08-28,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
133,"N LAGERQVIST;B MOIANE;G BUCHT;J FAFETINE;J T PAWESKA;A LUNDKVIST;K I FALK","ENG","JOURNAL ARTICLE",2012-09-02,"NETHERLANDSVACCINE84068990264-410X",""
134,"REBECCA R GRAY;MARCO SALEMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2012-08-29,"ENGLANDPARASITOLOGY04011210031-1820",""
135,"VALÉRIE SOTI;ANNELISE TRAN;PASCAL DEGENNE;VÉRONIQUE CHEVALIER;DANNY LO SEEN;YAYA THIONGANE;MAWLOUTH DIALLO;JEAN-FRANÇOIS GUÉGAN;DIDIER FONTENILLE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-08-21,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
136,"TIANCHAN NIU;HOLLY D GAFF;YIANNIS E PAPELIS;DAVID M HARTLEY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-08-13,"UNITED STATESCOMPUT MATH METHODS MED1012777511748-670X",""
137,"JACQUELYN M BALES;DIANA S POWELL;LAURA M BETHEL;DOUGLAS S REED;AMY L HARTMAN","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-08-02,"SWITZERLANDFRONT CELL INFECT MICROBIOL1015853592235-2988","LD50;RIFT VALLEY FEVER VIRUS;AEROSOL EXPOSURE;INBRED RAT STRAIN;RESPIRATORY INFECTION"
138,"RIMA BENFERHAT;THIBAUT JOSSE;BENOIT ALBAUD;DAVID GENTIEN;ZEYNI MANSUROGLU;VASCO MARCATO;SYLVIE SOUÈS;BERNARD LE BONNIEC;MICHÈLE BOULOY;ELIETTE BONNEFOY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-08-15,"UNITED STATESJ VIROL01137240022-538X",""
139,"AARTHI NARAYANAN;KYLENE KEHN-HALL;SVETLANA SENINA;LINDSAY LUNDBERG;RACHEL VAN DUYNE;IRENE GUENDEL;RAVI DAS;ALAN BAER;LAURA BETHEL;MICHAEL TURELL;AMY LYNN HARTMAN;BHASKAR DAS;CHARLES BAILEY;FATAH KASHANCHI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-07-30,"UNITED STATESJ BIOL CHEM2985121R0021-9258",""
140,"D MWAENGO;G LORENZO;J IGLESIAS;M WARIGIA;R SANG;R P BISHOP;A BRUN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-07-25,"NETHERLANDSVIRUS RES84109790168-1702",""
141,"CECILIA ENGDAHL;JONAS NÄSLUND;LENA LINDGREN;CLAS AHLM;GÖRAN BUCHT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-07-28,"ENGLANDVIROL J1012316451743-422X",""
142,"MIRABELA RUSU;RICHARD BONNEAU;MICHAEL R HOLBROOK;STANLEY J WATOWICH;STEFAN BIRMANNS;WILLY WRIGGERS;ALEXANDER N FREIBERG","ENG","JOURNAL ARTICLE",2012-07-19,"SWITZERLANDFRONT MICROBIOL1015489771664-302X","BUNYAVIRUS ASSEMBLY;HYBRID MODELING;MULTI-BODY REFINEMENT;MULTI-RESOLUTION REGISTRATION;PROTEIN STRUCTURE PREDICTION"
143,"LEON CALY;KYLIE M WAGSTAFF;DAVID A JANS","ENG","JOURNAL ARTICLE;REVIEW",2012-06-28,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
144,"TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.;REVIEW",2012-06-16,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
145,"FADILA AMRAOUI;GHAZI KRIDA;ALI BOUATTOUR;ADEL RHIM;JABEUR DAABOUB;ZOUBIR HARRAT;SAID-CHAWKI BOUBIDI;MHAMED TIJANE;MHAMMED SARIH;ANNA-BELLA FAILLOUX","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-05-31,"UNITED STATESPLOS ONE1012850811932-6203",""
146,"CHRISTOPHER REED;KEITH E STEELE;ANNA HONKO;JOSHUA SHAMBLIN;LISA E HENSLEY;DARCI R SMITH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-06-09,"UNITED STATESVIROLOGY01106740042-6822",""
147,"MILENA EULER;YONGJIE WANG;OLIVER NENTWICH;OLAF PIEPENBURG;FRANK T HUFERT;MANFRED WEIDMANN","ENG","EVALUATION STUDIES;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-06-09,"NETHERLANDSJ CLIN VIROL98156711386-6532",""
148,"JAMES R BURGESON;AMY L MOORE;JORDAN K BOUTILIER;NATASHA R CERRUTI;DIMA N GHARAIBEH;CANDACE E LOVEJOY;SEAN M AMBERG;DENNIS E HRUBY;SHANTHAKUMAR R TYAVANAGIMATT;ROBERT D ALLEN;DONGCHENG DAI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-05-17,"ENGLANDBIOORG MED CHEM LETT91073770960-894X",""
149,"MARY ELLENBECKER;JEAN-MARC LANCHY;J STEPHEN LODMELL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-05-29,"UNITED STATESJ BIOMOL SCREEN96121121087-0571",""
150,"SARAH K KONRAD;SCOTT N MILLER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ITALYGEOSPAT HEALTH1013029431827-1987",""
151,"ALLEN GROLLA;MASFIQUE MEHEDI;ROBBIN LINDSAY;CATHARINE BOSIO;ADRIANO DUSE;HEINZ FELDMANN","ENG","EVALUATION STUDIES;JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., INTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-05-24,"NETHERLANDSJ CLIN VIROL98156711386-6532",""
152,"BRIAN B GOWEN;JANE ENNIS;ERIC J SEFING;MIN-HUI WONG;KIE-HOON JUNG;JEFFREY D TURNER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",2012-05-21,"UNITED STATESANTIMICROB AGENTS CHEMOTHER03150610066-4804",""
153,"CATHERINE CÊTRE-SOSSAH;HERVÉ ZELLER;MARC GRANDADAM;VALÉRIE CARO;FRANÇOIS PETTINELLI;MICHÈLE BOULOY;ERIC CARDINALE;EMMANUEL ALBINA","ENG","JOURNAL ARTICLE",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
154,"DAVID P TCHOUASSI;ROSEMARY SANG;CATHERINE L SOLE;ARMANDA D S BASTOS;LEE W COHNSTAEDT;BALDWYN TORTO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-05-19,"ENGLANDPARASIT VECTORS1014627741756-3305",""
155,"CATHERINE CÊTRE-SOSSAH;AURÉLIE PÉDARRIEU;HÉLÈNE GUIS;CÉDRIC DEFERNEZ;MICHÈLE BOULOY;JACQUES FAVRE;SÉBASTIEN GIRARD;ERIC CARDINALE;EMMANUEL ALBINA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040",""
156,"DANA AUSTIN;ALAN BAER;LINDSAY LUNDBERG;NAZLY SHAFAGATI;ANNALISE SCHOONMAKER;AARTHI NARAYANAN;TAISSIA POPOVA;JEAN JACQUES PANTHIER;FATAH KASHANCHI;CHARLES BAILEY;KYLENE KEHN-HALL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2012-05-04,"UNITED STATESPLOS ONE1012850811932-6203",""
157,"OLGA LIHORADOVA;BIRTE KALVERAM;SABARISH V INDRAN;NANDADEVA LOKUGAMAGE;TERRY L JUELICH;TERENCE E HILL;CHIEN-TE K TSENG;BIN GONG;SHUETSU FUKUSHI;SHIGERU MORIKAWA;ALEXANDER N FREIBERG;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-05-09,"UNITED STATESJ VIROL01137240022-538X",""
158,"TARIK A AL-AZRAQI;AWAD A EL MEKKI;AHMED A MAHFOUZ","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-04-28,"NETHERLANDSACTA TROP03703740001-706X",""
159,"LING XUE;H MORGAN SCOTT;LEE W COHNSTAEDT;CATERINA SCOGLIO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-05-04,"ENGLANDJ THEOR BIOL03763420022-5193",""
160,"MARY B CRABTREE;REBEKAH J KENT CROCKETT;BRIAN H BIRD;STUART T NICHOL;BOBBIE RAE ERICKSON;BRAD J BIGGERSTAFF;KALANTHE HORIUCHI;BARRY R MILLER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",2012-05-01,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
161,"CHARLES K NFON;PETER MARSZAL;SHUNZHEN ZHANG;HANA M WEINGARTL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-04-24,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
162,"P O LY SOUMARÉ;CAIO C M FREIRE;OUSMANE FAYE;MAWLOUTH DIALLO;JULIANA VELASCO C DE OLIVEIRA;PAOLO M A ZANOTTO;AMADOU ALPHA SALL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-04-23,"UNITED STATESPLOS ONE1012850811932-6203",""
163,"THERESA S MOSER;DANIEL SCHIEFFER;SARA CHERRY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",2012-04-19,"UNITED STATESPLOS PATHOG1012389211553-7366",""
164,"EMNA AYARI-FAKHFAKH;TÂNIA ZAVERUCHA DO VALLE;LAURENT GUILLEMOT;JEAN-JACQUES PANTHIER;MICHÈLE BOULOY;ABDELJELIL GHRAM;EMMANUEL ALBINA;CATHERINE CÊTRE-SOSSAH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-04-18,"ENGLANDJ GEN VIROL00773400022-1317",""
165,"GJON BLAKQORI;ANICE C LOWEN;RICHARD M ELLIOTT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2012-04-18,"ENGLANDJ GEN VIROL00773400022-1317",""
166,"PABLO TORTOSA;HERVÉ PASCALIS;VANINA GUERNIER;ERIC CARDINALE;MATTHIEU LE CORRE;STEVEN M GOODMAN;KOUSSAY DELLAGI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;REVIEW",2012-04-04,"NETHERLANDSINFECT GENET EVOL1010841381567-1348",""
